Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/03/2022,08/05/2022,SNTATERESACAFE,Food & Drink,Sale,-3.68,
08/02/2022,08/04/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-14.62,
08/02/2022,08/04/2022,SANTI THAI FUSION,Food & Drink,Sale,-16.35,
08/02/2022,08/03/2022,7-ELEVEN 15440,Gas,Sale,-3.18,
08/01/2022,08/03/2022,THE HALAL GUYS BERKLEY,Food & Drink,Sale,-16.53,
08/01/2022,08/02/2022,COSTCO GAS #0482,Gas,Sale,-45.85,
07/31/2022,07/31/2022,Payment Thank You - Web,,Payment,405.65,
07/29/2022,07/31/2022,7-ELEVEN 15440,Gas,Sale,-1.94,
07/30/2022,07/31/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-32.61,
07/28/2022,07/29/2022,IN N OUT BURGER 342,Food & Drink,Sale,-11.98,
07/27/2022,07/29/2022,SNTATERESACAFE,Food & Drink,Sale,-5.38,
07/26/2022,07/27/2022,PANDA EXPRESS #1613,Food & Drink,Sale,-10.00,
07/25/2022,07/26/2022,COSTCO GAS #0482,Gas,Sale,-51.42,
07/23/2022,07/25/2022,THE HALAL GUYS BERKLEY,Food & Drink,Sale,-16.53,
07/24/2022,07/25/2022,SQ *KYOTO,Food & Drink,Sale,-56.45,
07/22/2022,07/24/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
07/23/2022,07/24/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
07/22/2022,07/24/2022,PIZZA MY HEART,Food & Drink,Sale,-21.33,
07/22/2022,07/24/2022,BURGER KING #2055,Food & Drink,Sale,-4.62,
07/21/2022,07/24/2022,SNTATERESACAFE,Food & Drink,Sale,-10.21,
07/20/2022,07/22/2022,FIVE GUYS CA 1103 QSR,Food & Drink,Sale,-18.03,
07/20/2022,07/22/2022,KRISPY KREME #7630,Food & Drink,Sale,-2.09,
07/19/2022,07/21/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-15.06,
07/19/2022,07/21/2022,SNTATERESACAFE,Food & Drink,Sale,-13.94,
07/20/2022,07/20/2022,Payment Thank You-Mobile,,Payment,450.00,
07/18/2022,07/20/2022,PAR*MARUGAME UDON - BERKE,Food & Drink,Sale,-11.09,
07/18/2022,07/19/2022,COSTCO GAS #0482,Gas,Sale,-56.21,
07/18/2022,07/19/2022,Subway 5440,Food & Drink,Sale,-14.60,
07/16/2022,07/18/2022,MENCHIE`S - MEN186,Food & Drink,Sale,-21.29,
07/18/2022,07/18/2022,UBER   EATS,Food & Drink,Sale,-24.47,
07/16/2022,07/18/2022,Frannie Express,Food & Drink,Sale,-18.60,
07/15/2022,07/17/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
07/16/2022,07/17/2022,McDonald's 4372,Food & Drink,Sale,-10.78,
07/16/2022,07/17/2022,SQ *SEOUL HOTDOG,Food & Drink,Sale,-14.97,
07/14/2022,07/17/2022,SNTATERESACAFE,Food & Drink,Sale,-9.11,
07/12/2022,07/14/2022,SAFEWAY #2900,Groceries,Sale,-47.91,
07/12/2022,07/14/2022,SNTATERESACAFE,Food & Drink,Sale,-15.26,
07/14/2022,07/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
07/12/2022,07/13/2022,Payment Thank You-Mobile,,Payment,500.00,
07/10/2022,07/12/2022,TST* Sliver Pizzeria - Sh,Food & Drink,Sale,-59.53,
07/11/2022,07/12/2022,COSTCO GAS #0482,Gas,Sale,-63.34,
07/10/2022,07/11/2022,99 RANCH #1781,Groceries,Sale,-16.56,
07/10/2022,07/11/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-6.27,
07/10/2022,07/11/2022,YAOYA SAN,Groceries,Sale,-76.93,
07/10/2022,07/11/2022,SHENG KEE BAKERY,Food & Drink,Sale,-11.30,
07/09/2022,07/10/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.00,
07/07/2022,07/10/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-14.30,
07/09/2022,07/10/2022,BERKELEY 7,Entertainment,Sale,-32.69,
07/07/2022,07/10/2022,SNTATERESACAFE,Food & Drink,Sale,-7.16,
07/06/2022,07/07/2022,AMZN Mktp US*CI80V0ZI3,Shopping,Sale,-17.89,
07/05/2022,07/07/2022,SNTATERESACAFE,Food & Drink,Sale,-4.72,
07/07/2022,07/07/2022,MOMENTHOUSE.COM,Entertainment,Sale,-17.29,
07/05/2022,07/06/2022,SONIC.NET,Bills & Utilities,Sale,-6.00,
07/05/2022,07/06/2022,SQ *THAI CHILI EXPRESS,Food & Drink,Sale,-25.70,
07/02/2022,07/04/2022,MAX'S LIQUORS,Food & Drink,Sale,-86.22,
07/03/2022,07/04/2022,IN N OUT BURGER 120,Food & Drink,Sale,-13.39,
07/03/2022,07/04/2022,COSTCO GAS #0482,Gas,Sale,-71.87,
07/02/2022,07/03/2022,MCDONALD'S F776,Food & Drink,Sale,-66.05,
07/01/2022,07/03/2022,VAL MAR MARKET,Groceries,Sale,-4.16,
06/30/2022,07/03/2022,SNTATERESACAFE,Food & Drink,Sale,-13.03,
06/29/2022,07/01/2022,7-ELEVEN 15440,Gas,Sale,-6.18,
06/29/2022,06/30/2022,PANDA EXPRESS #1613,Food & Drink,Sale,-13.62,
06/28/2022,06/30/2022,SNTATERESACAFE,Food & Drink,Sale,-9.95,
06/29/2022,06/30/2022,PIZZA MY HEART,Food & Drink,Sale,-21.33,
06/27/2022,06/28/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
06/27/2022,06/28/2022,SUMUP *LA ESTRELLA FOOD T,Food & Drink,Sale,-15.93,
06/25/2022,06/26/2022,Payment Thank You-Mobile,,Payment,595.57,
06/25/2022,06/26/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
06/21/2022,06/23/2022,SNTATERESACAFE,Food & Drink,Sale,-10.67,
06/21/2022,06/23/2022,IN N OUT BURGER 342,Food & Drink,Sale,-13.51,
06/22/2022,06/23/2022,CSJ MKT &amp; S PEDRO GARAGE,Travel,Sale,-2.00,
06/21/2022,06/22/2022,IN N OUT BURGER 240,Food & Drink,Sale,-11.98,
06/20/2022,06/21/2022,ARCTERYX,Shopping,Return,417.84,
06/20/2022,06/20/2022,Payment Thank You-Mobile,,Payment,1500.00,
06/17/2022,06/19/2022,MEZZO,Food & Drink,Sale,-13.78,
06/17/2022,06/19/2022,TARGET        00032672,Shopping,Sale,-15.16,
06/17/2022,06/19/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
06/16/2022,06/17/2022,BART-CLIPPER CERRITO PLZ,Travel,Sale,-15.00,
06/15/2022,06/17/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-14.62,
06/15/2022,06/16/2022,ARCTERYX,Shopping,Return,252.47,
06/14/2022,06/16/2022,SAFEWAY #0316,Groceries,Sale,-26.96,
06/16/2022,06/16/2022,BCY*STEEPANDCHEAP.COM,Shopping,Sale,-61.38,
06/14/2022,06/16/2022,SNTATERESACAFE,Food & Drink,Sale,-13.65,
06/14/2022,06/15/2022,MEZZO,Food & Drink,Sale,-16.00,
06/13/2022,06/15/2022,CREAM,Food & Drink,Sale,-12.98,
06/14/2022,06/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
06/13/2022,06/14/2022,COSTCO GAS #0482,Gas,Sale,-64.38,
06/13/2022,06/13/2022,SNACK* IBS,Food & Drink,Sale,-13.33,
06/10/2022,06/12/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
06/08/2022,06/08/2022,Amazon.com,Shopping,Return,19.83,
06/06/2022,06/07/2022,Amazon.com*2Z4D92EG3,Shopping,Sale,-53.36,
06/06/2022,06/07/2022,SQ *OORI OAKLAND,Food & Drink,Sale,-27.45,
06/07/2022,06/07/2022,AMZN Mktp US,Shopping,Return,27.43,
06/04/2022,06/05/2022,AMZN Mktp US*SF8U69253,Shopping,Sale,-71.96,
06/03/2022,06/05/2022,TST* SARAVANAA BHAVAN- FR,Food & Drink,Sale,-16.53,
06/04/2022,06/05/2022,TRADER JOE'S #108  QPS,Groceries,Sale,-5.99,
06/03/2022,06/05/2022,PANDA EXPRESS #1788,Food & Drink,Sale,-13.51,
06/01/2022,06/03/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-14.62,
05/31/2022,06/02/2022,SNTATERESACAFE,Food & Drink,Sale,-12.20,
05/30/2022,06/01/2022,WASH KIOSK MOBILE,Personal,Sale,-10.00,
05/30/2022,06/01/2022,IN N OUT BURGER 115,Food & Drink,Sale,-10.34,
05/29/2022,05/30/2022,COSTCO GAS #0482,Gas,Sale,-47.70,
05/27/2022,05/29/2022,Amazon.com*1R8HW29Y2,Shopping,Sale,-18.09,
05/27/2022,05/29/2022,ARCTERYX,Shopping,Sale,-568.51,
05/25/2022,05/27/2022,CHICK-FIL-A #03397,Food & Drink,Sale,-14.96,
05/26/2022,05/26/2022,SQ *THE KEBAB SHOP,Food & Drink,Sale,-15.59,
05/26/2022,05/26/2022,Uniqlo USA LLC,Shopping,Sale,-152.68,
05/24/2022,05/26/2022,SHELL OIL 10008280009,Gas,Sale,-74.47,
05/23/2022,05/25/2022,CHICK-FIL-A #03924,Food & Drink,Sale,-16.67,
05/24/2022,05/25/2022,ARCTERYX,Shopping,Sale,-918.38,
05/23/2022,05/24/2022,Amazon.com*1R0F26NS0,Shopping,Sale,-38.63,
05/22/2022,05/22/2022,Payment Thank You-Mobile,,Payment,400.00,
05/20/2022,05/22/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
05/21/2022,05/22/2022,LYFT   *1 RIDE 05-19,Travel,Sale,-13.83,
05/20/2022,05/22/2022,PORTAL GASTROPUB,Food & Drink,Sale,-70.00,
05/21/2022,05/22/2022,THE CHEESE BOARD COLLECTI,Groceries,Sale,-40.38,
05/19/2022,05/20/2022,BLONDIS PIZZA,Food & Drink,Sale,-8.22,
05/19/2022,05/19/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-14.47,
05/19/2022,05/19/2022,Payment Thank You-Mobile,,Payment,600.00,
05/18/2022,05/19/2022,SNACK* THAI BASIL,Food & Drink,Sale,-15.91,
05/17/2022,05/18/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-10.76,
05/16/2022,05/17/2022,SNACK* KO STOP BER,Food & Drink,Sale,-17.73,
05/14/2022,05/15/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
05/13/2022,05/15/2022,EXXONMOBIL    48228399,Gas,Sale,-10.23,
05/13/2022,05/15/2022,JOHNSTON'S MARKET,Groceries,Sale,-17.55,
05/14/2022,05/15/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
05/12/2022,05/13/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
05/10/2022,05/12/2022,KIPS BAR,Food & Drink,Sale,-16.54,
05/10/2022,05/12/2022,KIPS BAR,Food & Drink,Sale,-8.82,
05/11/2022,05/12/2022,SQ *CHEESE ?N? STUFF,Food & Drink,Sale,-9.25,
05/11/2022,05/12/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
05/11/2022,05/12/2022,SQ *SEOUL HOTDOG,Food & Drink,Sale,-5.50,
05/09/2022,05/11/2022,SAFEWAY #2870,Groceries,Sale,-9.69,
05/10/2022,05/11/2022,CAL STUDENT STORE,Shopping,Sale,-13.23,
05/10/2022,05/11/2022,McDonald's 4372,Food & Drink,Sale,-7.93,
05/09/2022,05/10/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
05/08/2022,05/09/2022,MOUNTAIN MIKES PIZZA,Food & Drink,Sale,-15.42,
05/06/2022,05/08/2022,CHICK-FIL-A #02765,Food & Drink,Sale,-15.64,
05/06/2022,05/08/2022,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-11.63,
05/06/2022,05/08/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
05/06/2022,05/08/2022,BERKELEY 7,Entertainment,Sale,-5.29,
05/05/2022,05/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.66,
05/05/2022,05/06/2022,SQ *OORI OAKLAND,Food & Drink,Sale,-15.38,
05/05/2022,05/06/2022,UCB PARKING &amp; TRANSP,Travel,Sale,-78.00,
05/04/2022,05/05/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
05/04/2022,05/05/2022,UCB CAL PERFORMANCES ONL,Education,Sale,-20.00,
05/03/2022,05/04/2022,OAKLAND ATHLETICS,Entertainment,Sale,-16.50,
05/03/2022,05/04/2022,SQ *WONDER PHILLY,Food & Drink,Sale,-13.35,
05/03/2022,05/04/2022,SQ *OORI OAKLAND,Food & Drink,Sale,-15.38,
05/03/2022,05/04/2022,SP NYCMODE,Shopping,Return,41.95,
05/01/2022,05/02/2022,UBER   TRIP,Travel,Sale,-13.95,
04/29/2022,05/01/2022,GANGNAMJAJANG,Food & Drink,Sale,-117.36,
04/30/2022,05/01/2022,BLONDIS PIZZA,Food & Drink,Sale,-23.68,
04/28/2022,04/29/2022,AMZN Mktp US*1Q2F91F12,Shopping,Sale,-13.22,
04/26/2022,04/28/2022,KIPS BAR,Food & Drink,Sale,-8.82,
04/26/2022,04/27/2022,BLONDIS PIZZA,Food & Drink,Sale,-6.22,
04/26/2022,04/27/2022,SP NYCMODE,Shopping,Sale,-92.88,
04/26/2022,04/26/2022,Amazon.com*1Q3C79DD1,Shopping,Sale,-23.14,
04/26/2022,04/26/2022,Amazon.com*1O8B10SO0,Shopping,Sale,-24.22,
04/25/2022,04/26/2022,CAL STUDENT STORE,Shopping,Sale,-66.64,
04/23/2022,04/25/2022,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-11.63,
04/24/2022,04/25/2022,BLONDIS PIZZA,Food & Drink,Sale,-12.04,
04/23/2022,04/24/2022,Payment Thank You-Mobile,,Payment,550.00,
04/21/2022,04/22/2022,SQ *OORI BERKELEY,Food & Drink,Sale,-14.28,
04/21/2022,04/21/2022,LYFT   *1 RIDE 04-19,Travel,Sale,-15.84,
04/20/2022,04/21/2022,RALEIGHS PUB,Food & Drink,Sale,-12.13,
04/20/2022,04/21/2022,SP NYCMODE,Shopping,Sale,-49.93,
04/20/2022,04/21/2022,Amazon.com*1O35P3Y31,Shopping,Sale,-7.14,
04/19/2022,04/20/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
04/17/2022,04/18/2022,BLONDIS PIZZA,Food & Drink,Sale,-6.22,
04/17/2022,04/18/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
04/17/2022,04/18/2022,SNACKPASS,Food & Drink,Sale,-5.31,
04/17/2022,04/17/2022,AMZN Mktp US*1O2TV6V51,Shopping,Sale,-27.55,
04/16/2022,04/17/2022,KABANA RESTAURANT 1025,Food & Drink,Sale,-61.97,
04/16/2022,04/17/2022,SNACK* CINNAHOLIC,Food & Drink,Sale,-8.60,
04/16/2022,04/17/2022,JOHNSTON'S MARKET,Groceries,Sale,-5.54,
04/15/2022,04/17/2022,SNACK* CHEESE N ST,Food & Drink,Sale,-9.39,
04/12/2022,04/14/2022,GABBY'S MARKET AND DELI,Groceries,Sale,-10.03,
04/14/2022,04/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
04/12/2022,04/14/2022,2BON APPETIT,Food & Drink,Sale,-15.50,
04/12/2022,04/13/2022,BART-CLIPPER BERKELEY,Travel,Sale,-11.00,
04/08/2022,04/10/2022,APPLE.COM/BILL,Shopping,Return,7.99,
04/08/2022,04/10/2022,BART-CLIPPER BERKELEY,Travel,Sale,-10.00,
04/09/2022,04/10/2022,SQ *KO STOP,Food & Drink,Sale,-31.96,
04/08/2022,04/10/2022,APPLE.COM/BILL,Shopping,Return,4.99,
04/09/2022,04/10/2022,UCB CAL ATHLETICS EVENUE,Education,Sale,-110.00,
04/07/2022,04/08/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-38.24,
04/07/2022,04/08/2022,SP1998 SP ONLINE,Shopping,Return,38.90,
04/07/2022,04/08/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-1.76,
04/07/2022,04/08/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
04/07/2022,04/07/2022,Payment Thank You-Mobile,,Payment,850.00,
04/05/2022,04/06/2022,TACO BELL #031449,Food & Drink,Sale,-7.71,
04/05/2022,04/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.94,
04/05/2022,04/05/2022,APPLE.COM/BILL,Entertainment,Sale,-7.99,
04/02/2022,04/04/2022,EUREKA BERKELEY,Food & Drink,Sale,-135.00,
04/01/2022,04/03/2022,USPS.COM CLICKNSHIP,Shopping,Sale,-8.95,
03/31/2022,04/03/2022,BLAZE PIZZA - 1365 - LIVE,Food & Drink,Sale,-3.46,
03/31/2022,04/01/2022,TST* Lama Beans Cafe,Food & Drink,Sale,-41.89,
03/31/2022,04/01/2022,KING PIN DONUT,Food & Drink,Sale,-3.25,
03/30/2022,03/31/2022,CHIPOTLE 0697,Food & Drink,Sale,-9.76,
03/29/2022,03/30/2022,SQ *SUBWAY SANDWICHES,Food & Drink,Sale,-10.61,
03/30/2022,03/30/2022,LYFT   *1 RIDE 03-28,Travel,Sale,-12.99,
03/28/2022,03/28/2022,LYFT   *1 RIDE 03-26,Travel,Sale,-16.99,
03/26/2022,03/28/2022,WINGSTOP #477 EL CERRITO,Food & Drink,Sale,-18.29,
03/26/2022,03/27/2022,ESPETUS CHURRASCARIA INC,Food & Drink,Sale,-180.00,
03/25/2022,03/27/2022,BERKELEY 7,Entertainment,Sale,-18.39,
03/27/2022,03/27/2022,LYFT   *1 RIDE 03-25,Travel,Sale,-30.86,
03/25/2022,03/27/2022,BART-CLIPPER CIVIC CTR,Travel,Sale,-6.00,
03/25/2022,03/27/2022,CVS/PHARMACY #03026,Health & Wellness,Sale,-3.39,
03/24/2022,03/24/2022,Payment Thank You-Mobile,,Payment,600.00,
03/23/2022,03/23/2022,Amazon.com*1N33D5PI2,Shopping,Sale,-30.42,
03/20/2022,03/22/2022,CHEF YU ZAZANG,Food & Drink,Sale,-63.00,
03/19/2022,03/20/2022,IN N OUT BURGER 303,Food & Drink,Sale,-14.73,
03/19/2022,03/20/2022,SP1998 SP ONLINE,Shopping,Sale,-101.57,
03/19/2022,03/20/2022,CHEVRON 0306144,Gas,Sale,-16.97,
03/18/2022,03/20/2022,TACO BELL 732759,Food & Drink,Sale,-7.71,
03/18/2022,03/20/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
03/18/2022,03/20/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.00,
03/17/2022,03/18/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-28.30,
03/17/2022,03/18/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
03/17/2022,03/18/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
03/18/2022,03/18/2022,Amazon.com*1Z1GT6D12,Shopping,Sale,-8.25,
03/15/2022,03/17/2022,TACO BELL 032759,Food & Drink,Sale,-9.91,
03/15/2022,03/16/2022,SQ *CHEESE ?N? STUFF,Food & Drink,Sale,-9.65,
03/14/2022,03/15/2022,YOGURT PARK,Food & Drink,Sale,-5.60,
03/14/2022,03/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
03/13/2022,03/14/2022,CHEVRON 0092050,Gas,Sale,-10.48,
03/14/2022,03/14/2022,APPLE.COM/BILL,Entertainment,Sale,-4.99,
03/11/2022,03/14/2022,CHEF YU ZAZANG,Food & Drink,Sale,-67.00,
03/11/2022,03/13/2022,SQ *SEOUL HOTDOG,Food & Drink,Sale,-5.17,
03/10/2022,03/13/2022,CLAYTON VALLEY BOWL,Entertainment,Sale,-10.00,
03/10/2022,03/13/2022,CLAYTON VALLEY BOWL,Entertainment,Sale,-88.00,
03/09/2022,03/11/2022,JONG GA HOUSE.,Food & Drink,Sale,-185.00,
03/10/2022,03/11/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
03/10/2022,03/11/2022,FUDDRUCKERS 7161,Food & Drink,Sale,-17.00,
03/09/2022,03/10/2022,MCDONALD'S F1745,Food & Drink,Sale,-8.24,
03/09/2022,03/10/2022,CREAM,Food & Drink,Sale,-6.49,
03/08/2022,03/08/2022,Payment Thank You-Mobile,,Payment,910.00,
03/07/2022,03/08/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
03/06/2022,03/07/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-5.91,
03/05/2022,03/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.99,
03/04/2022,03/06/2022,BERKELEY 7,Entertainment,Sale,-9.49,
03/04/2022,03/06/2022,CVS/PHARMACY #03026,Health & Wellness,Sale,-6.58,
03/02/2022,03/03/2022,SQ *KO STOP,Food & Drink,Sale,-30.86,
02/28/2022,03/01/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
02/28/2022,03/01/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
02/28/2022,03/01/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.15,
02/28/2022,03/01/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.50,
02/26/2022,02/28/2022,ROSEVILLE GOLFLAND LTD,Entertainment,Sale,-25.00,
02/27/2022,02/28/2022,TRADER JOE'S #186  QPS,Groceries,Sale,-66.32,
02/27/2022,02/28/2022,RAISING CANE'S 0569,Food & Drink,Sale,-9.36,
02/25/2022,02/27/2022,SHELL OIL 57441251303,Gas,Sale,-59.88,
02/25/2022,02/27/2022,ZANO'S FAMILY ITALIAN &amp;,Food & Drink,Sale,-53.00,
02/24/2022,02/25/2022,TEN CROWS BBQ,Food & Drink,Sale,-117.39,
02/23/2022,02/24/2022,FH* TAHOE SNOWMOBILE,Entertainment,Sale,-249.52,
02/22/2022,02/23/2022,COSTCO WHSE #0482,Shopping,Sale,-5.47,
02/22/2022,02/23/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
02/22/2022,02/23/2022,AMZN Mktp US*1I0MA3FS0,Shopping,Sale,-10.77,
02/22/2022,02/23/2022,COSTCO GAS #0482,Gas,Sale,-38.62,
02/21/2022,02/22/2022,TST* Lama Beans Cafe,Food & Drink,Sale,-30.32,
02/18/2022,02/20/2022,TACO BELL #031449,Food & Drink,Sale,-4.18,
02/19/2022,02/20/2022,Payment Thank You-Mobile,,Payment,650.00,
02/19/2022,02/20/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-10.29,
02/17/2022,02/18/2022,KING PIN DONUT,Food & Drink,Sale,-6.25,
02/15/2022,02/17/2022,GYPSY'S TRATTORIA ITAL,Food & Drink,Sale,-15.15,
02/17/2022,02/17/2022,LYFT   *1 RIDE 02-15,Travel,Sale,-12.90,
02/16/2022,02/17/2022,SQ *CHASE CENTER,Food & Drink,Sale,-41.00,
02/15/2022,02/15/2022,Payment Thank You-Mobile,,Payment,500.00,
02/14/2022,02/15/2022,CITY OF BERKELEY- IPS,Travel,Sale,-0.75,
02/14/2022,02/15/2022,AMZN Mktp US*XF2R39W73,Shopping,Sale,-18.15,
02/14/2022,02/15/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
02/14/2022,02/14/2022,RESTAURANT SP,Food & Drink,Sale,-15.09,
02/14/2022,02/14/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-30.00,
02/12/2022,02/13/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-4.89,
02/12/2022,02/13/2022,SQ *KO STOP,Food & Drink,Sale,-49.24,
02/09/2022,02/10/2022,RALEIGHS PUB,Food & Drink,Sale,-74.97,
02/08/2022,02/09/2022,SQ *KO STOP,Food & Drink,Sale,-35.06,
02/07/2022,02/08/2022,CREAM,Food & Drink,Sale,-5.48,
02/07/2022,02/08/2022,UCB PARKING &amp; TRANSP,Travel,Sale,-78.00,
02/07/2022,02/08/2022,STUDENT FOOD CO,Groceries,Sale,-6.50,
02/06/2022,02/06/2022,LYFT   *1 RIDE 02-04,Travel,Sale,-11.66,
02/04/2022,02/06/2022,TACO BELL 032759,Food & Drink,Sale,-5.50,
02/04/2022,02/06/2022,Amazon.com*FJ6B36CE3,Shopping,Sale,-20.94,
02/04/2022,02/06/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
02/05/2022,02/06/2022,SONIC.NET,Bills & Utilities,Sale,-52.49,
02/02/2022,02/04/2022,PARKING FINES - PSPT,Travel,Sale,-89.00,
02/03/2022,02/04/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-3.36,
02/01/2022,02/03/2022,CREAM,Food & Drink,Sale,-6.49,
02/02/2022,02/03/2022,RALEIGHS PUB,Food & Drink,Sale,-76.08,
02/01/2022,02/01/2022,SQ *ARTICHOKE BASILLE'S P,Food & Drink,Sale,-6.55,
01/30/2022,02/01/2022,RALEIGHS PUB,Food & Drink,Sale,-33.63,
01/31/2022,02/01/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
01/31/2022,01/31/2022,Amazon.com*ZI5F096I3,Shopping,Sale,-71.33,
01/29/2022,01/30/2022,Payment Thank You-Mobile,,Payment,614.33,
01/29/2022,01/30/2022,RESTAURANT SP,Food & Drink,Sale,-9.99,
01/27/2022,01/30/2022,SUSHI GO GO LLC,Food & Drink,Sale,-30.81,
01/28/2022,01/28/2022,SNACK* ABES PIZZA,Food & Drink,Sale,-3.85,
01/26/2022,01/27/2022,CITY OF BERKELEY- IPS,Travel,Sale,-0.50,
01/26/2022,01/27/2022,RALEIGHS PUB,Food & Drink,Sale,-160.00,
01/26/2022,01/27/2022,KING PIN DONUT,Food & Drink,Sale,-5.00,
01/27/2022,01/27/2022,RESTAURANT SP,Food & Drink,Sale,-12.36,
01/24/2022,01/25/2022,PANDA EXPRESS #1022,Food & Drink,Sale,-11.80,
01/24/2022,01/25/2022,RALEIGHS PUB,Food & Drink,Sale,-73.00,
01/23/2022,01/24/2022,RALEIGHS PUB,Food & Drink,Sale,-50.00,
01/21/2022,01/23/2022,PARKING FINES - PSPT,Travel,Sale,-46.00,
01/22/2022,01/23/2022,CITY OF BERKELEY- IPS,Travel,Sale,-1.00,
01/21/2022,01/23/2022,BOICHIK BAGELS,Food & Drink,Sale,-17.01,
